card_id,card_zh_cnt,card_xz_cnt,card_brand_cnt,card_product_cnt,card_zh,card_xz,card_brand,card_product,flow_mtcnt,flow_daycnt,flowcnt_t,flowcnt_6,flowcnt_3,min_dtseg,max_dtseg,flowcnt_wkd,flowcnt_wke,top_trdtz,n_trdtz,top_trdwkd,n_trdwkd,succ_cnt1,succ_cnt6,succ_cnt3,succ_late,fail_late,cash_cnt1,cash_cnt6,cash_cnt3,cash_amt1,cash_amt6,cash_amt3,cashmax_amt1,cashmax_amt6,cashmax_amt3,cons_cnt1,cons_cnt6,cons_cnt3,cons_amt1,cons_amt6,cons_amt3,consmax_amt1,consmax_amt6,consmax_amt3,consnigt_cnt1,consnigt_cnt6,consnigt_cnt3,transout_cnt1,transout_cnt6,transout_cnt3,transout_amt1,transout_amt6,transout_amt3,transoutmax_amt1,transoutmax_amt6,transoutmax_amt3,cre_cash_cnt,cre_cash_amt,kj_cnt,kj_amt,zx_cnt,zx_amt,trade_amt1,trade_amt6,trade_amt3,consnigt_amt1,consnigt_amt6,consnigt_amt3,arg_cashamt,arg_consamt,avg_nigconsamt,arg_tout_amt,arg_crecash_amt,arg_zx_amt,arg_cashzb_cnt,arg_conszb_cnt,arg_nigconszb_cnt,transoutzb_cnt,cre_cashzb_cnt,zxzb_cnt,arg_cashzb_amt,arg_conszb_amt,arg_nigconszb_amt,transoutzb_amt,cre_cashzb_amt,zxzb_amt,flag,
0.295025334,0,0,0,0,0,0,0.112244898,0,1,0.067039106,0.021276596,0.021276596,0.009237875,0.073033708,0.966292135,0.024498886,0.018518519,0,0.030837004,0,0.025806452,0.012605042,0.021680217,0.013282732,0,0.003003003,0,0,0,0,0,0,0,0,0,0.021126761,0.041322314,0.026415094,5.61E-05,0.000190589,0.000102549,6.17E-05,0.00030604,0.000247525,0,0.015151515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66E-08,5.20E-05,0.000188615,0.000102057,0,0.000208257,0,0,0.000190602,0.000416515,0,0,5.01E-08,0,0.833333,0.055555,0,0,0,0,0.954551225,0.066984374,0,0,0.903440006,1,4661
0.295370797,0,0,0,0,0,0,0.112244898,0,1,0.078212291,0.046307885,0.046307885,0.034642032,0.02247191,0.921348315,0.035634744,0.058201058,0.142857143,0.057268722,0.833333333,0.058064516,0.025210084,0.01897019,0.020872865,0,0,0.015873016,0.014705882,0.022727273,0.010031348,0.008572371,0.009075044,0.04,0.032,0.04,0.035211268,0.03030303,0.030188679,0.006571216,0.004457,0.005154682,0.007407407,0.006930693,0.006930693,0.035714286,0.015151515,0.027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002463054,0.00036865,0.006774659,0.004747788,0.005633691,0.0125,0.012495444,0.0125,0.030952381,0.006078124,0.024990889,0,0,0.013468968,0.052631,0.289473,0.026315,0,0,0.026315,0.071259244,0.88648354,0.159607809,0,0,0.910120755,1,788
0.295485951,0,0.5,0,0,0,0,0.112244898,0,1,0.044692737,0.020025031,0.020025031,0.023094688,0.02247191,0.893258427,0.028953229,0.010582011,0.285714286,0.030837004,0.333333333,0.032258065,0.021008403,0.017615176,0.017077799,0,0.001001001,0,0,0,0,0,0,0,0,0,0,0.016528926,0.00754717,0,0.003854858,0.002786623,0,0.007950495,0.007078495,0,0.015151515,0.027027027,0.034482759,0.00814664,0.011527378,0.01183432,0.00242676,0.005480682,0.044,0.044,0.044,0,0,0,0,0.014778325,0.004011852,0.003697493,0.004907272,0.004415078,0,0.014888905,0.014894333,0,0.009637789,0.02977781,0.042,0,0.024432211,0,0.352941,0.058823,0.235294,0,0.352941,0,0.74180117,0.183999449,0.222850932,0,0.973789286,1,
0.029249194,0,0,0,0,0,0.5,0,0,1,0.078212291,0.030037547,0.030037547,0.023094688,0.095505618,0.994382022,0.031180401,0.029100529,0.428571429,0.039647577,0.5,0.064516129,0.016806723,0.031165312,0.017077799,0,0,0,0,0,0,0,0,0,0,0,0.028169014,0.046831956,0.033962264,0.029541929,0.024270346,0.020853884,0.037037037,0.035732673,0.035732673,0,0.03030303,0.054054054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66E-08,0.02728979,0.02447426,0.020731989,0,0.001265101,0.001265563,0,0.021416466,0.001265101,0,0,5.01E-08,0,0.68,0.08,0,0,0,0,0.936441588,0.003134073,0,0,0.903440006,1,
0.295601105,0,0,0,0,1,0.5,0,0,0.2,0.016759777,0.008760951,0.008760951,0.018475751,0.056179775,0.421348315,0.006681514,0.013227513,0,0.013215859,0.833333333,0.019354839,0.004201681,0.009485095,0.013282732,0,0,0,0,0,0,0,0,0,0,0,0.007042254,0.019283747,0.026415094,0.001500921,0.002896282,0.004333961,0.003888889,0.017356436,0.017356436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66E-08,0.001386685,0.002865288,0.004308714,0,0,0,0,0.006206732,0,0,0,5.01E-08,0,0.875,0,0,0,0,0,0.954545498,0,0,0,0.903440006,1,
0.29571626,0,0,0,0,0,0.5,0.112244898,0,1,0.100558659,0.042553191,0.042553191,0.027713626,0.028089888,0.915730337,0.033407572,0.052910053,0,0.04845815,1,0.058064516,0.008403361,0.017615176,0.017077799,0,0,0,0,0,0,0,0,0,0,0,0.007042254,0.03030303,0.030188679,0.000432646,0.001245304,0.001075967,0.001120988,0.003940594,0.003940594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66E-08,0.000399854,0.001232016,0.001069778,0,0,0,0,0.001698243,0,0,0,5.01E-08,0,0.314285,0,0,0,0,0,0.954547407,0,0,0,0.903440006,1,
0.295946568,0,0,0,0,0,0,0.112244898,0,1,0.12849162,0.042553191,0.042553191,0.041570439,0.078651685,0.994382022,0.053452116,0.029100529,0.142857143,0.044052863,0.166666667,0.064516129,0.042016807,0.043360434,0.039848197,0,0,0.047619048,0.051470588,0.079545455,0.031347962,0.044840092,0.047469459,0.05,0.06,0.075,0.021126761,0.033057851,0.030188679,0.002715951,0.004703332,0.003040036,0.004567901,0.01980198,0.003663366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66E-08,0.004709836,0.006449723,0.005685122,0,0,0,0.046258333,0.005879566,0,0,0,5.01E-08,0.2,0.342857,0,0,0,0,0.27438337,0.688624395,0,0,0,0.903440006,1,
0.296407186,0,0,0,0,0,0,0.112244898,0,0.8,0.100558659,0.062578223,0.062578223,0.071593533,0.134831461,0.988764045,0.066815145,0.055555556,0.285714286,0.074889868,0.333333333,0.077419355,0.067226891,0.06504065,0.077798861,0,0.001001001,0.047619048,0.058823529,0.068181818,0.017554859,0.052093637,0.041186736,0.025,0.1,0.125,0.049295775,0.071625344,0.094339623,0.013784645,0.014660536,0.021881521,0.007407407,0.01980198,0.01980198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66E-08,0.01396628,0.016560516,0.024063944,0,0,0,0.04702381,0.008458559,0,0,0,5.01E-08,0.156862,0.509803,0,0,0,0,0.124147511,0.835969947,0,0,0,0.903440006,1,
0.29652234,0,0,0,0,0,0.5,0.030612245,0,1,0.340782123,0.113892365,0.113892365,0.101616628,0,0.994382022,0.093541203,0.132275132,0.571428571,0.110132159,1,0.109677419,0.121848739,0.12195122,0.108159393,0,0,0,0,0,0,0,0,0,0,0,0.154929577,0.212121212,0.181132075,0.041035168,0.030758526,0.035993936,0.061728395,0.04950495,0.04950495,0.107142857,0.166666667,0.216216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032019704,0.001891344,0.037917299,0.030637119,0.035804004,0.002997917,0.009873484,0.005395833,0,0.00599232,0.001795179,0,0,0.005316106,0,0.836956,0.119565,0,0,0.141304,0,0.94805077,0.019543576,0,0,0.908752107,1,
0.029364348,0,0,0,0,0,0.5,0,0,0.6,0.022346369,0.008760951,0.008760951,0.016166282,0.06741573,0.561797753,0.011135857,0.007936508,0.714285714,0.013215859,0.5,0.025806452,0.021008403,0.009485095,0.013282732,0,0,0.015873016,0.007352941,0.011363636,0.012539185,0.006594131,0.006980803,0.05,0.04,0.05,0.014084507,0.011019284,0.01509434,0.000313049,0.000548433,0.000820668,0.000440741,0.003168317,0.003168317,0,0,0,0,0,0,0,0,0,0,0,0,0.011363636,0.006980803,0,0,0,4.66E-08,0.00116968,0.000803022,0.001207555,0,0,0,0.047619048,0.002056762,0,0,0.352941218,5.01E-08,0.125,0.5,0,0,0.125,0,0.324112532,0.64498162,0,0,0.324285597,0.903440006,1,
0.296752649,0,0,0,0,0,0,0.112244898,0,0.6,0.016759777,0.006257822,0.006257822,0.004618938,0.297752809,0.803370787,0.011135857,0.002645503,0.285714286,0.017621145,0,0.012903226,0,0,0,0,0.001001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66E-08,1.98E-07,7.16E-08,1.08E-07,0,0,0,0,0,0,0,0,5.01E-08,0,0,0,0,0,0,0,0,0,0,0,0.903440006,1,
0.296867803,0,0,0,0,0,0,0.112244898,0,0.8,0.083798883,0.021276596,0.021276596,0.020785219,0.157303371,0.994382022,0.017817372,0.026455026,0.571428571,0.017621145,0.833333333,0.025806452,0.029411765,0.02303523,0.020872865,0,0.003003003,0.031746032,0.066176471,0.045454545,0.011285266,0.019452687,0.011169284,0.025,0.02,0.025,0.028169014,0.016528926,0.018867925,0.000493636,0.000146604,0.000215044,0.000471605,0.000378218,0.000378218,0.035714286,0.015151515,0.027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66E-08,0.001248477,0.000913291,0.000840427,0.000364583,0.00036445,0.000364583,0.015608333,0.000366535,0.000728901,0,0,5.01E-08,0.5,0.333333,0.055555,0,0,0,0.84068259,0.151594234,0.02420152,0,0,0.903440006,1,
0.297443574,0,0,0,0,0,0,0.112244898,0,1,0.229050279,0.067584481,0.067584481,0.03926097,0.02247191,0.983146067,0.06013363,0.074074074,0.571428571,0.061674009,1,0.064516129,0.033613445,0.074525745,0.051233397,0,1,0.015873016,0.007352941,0.011363636,0.006269592,0.003297066,0.003490401,0.025,0.02,0.025,0.028169014,0.115702479,0.071698113,0.000932953,0.004395489,0.001751428,0.001234568,0.004366337,0.001386139,0.035714286,0.090909091,0.027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004926108,0.001057544,0.00513889,0.012123447,0.011346363,0.002083333,0.016000417,0.002083333,0.023809524,0.001569911,0.005333472,0,0,0.019320745,0.018181,0.763636,0.10909,0,0,0.036363,0.01073256,0.342370652,0.080037675,0,0,0.910945981,1,
0.297558729,0,0,0,0,0,0.5,0.030612245,0,0.6,0.039106145,0.01126408,0.01126408,0.016166282,0.016853933,0.97752809,0.006681514,0.018518519,0,0.013215859,0.833333333,0.012903226,0.021008403,0.010840108,0.011385199,0,0,0,0,0,0,0,0,0,0,0,0.028169014,0.019283747,0.018867925,0.001601458,0.004390751,0.002631376,0.001234568,0.00990099,0.00990099,0.071428571,0.03030303,0.054054054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66E-08,0.001479998,0.004343857,0.002616285,0.003252083,0.003250898,0.003252083,0,0.009409378,0.003250898,0,0,5.01E-08,0,0.7,0.2,0,0,0,0,0.954516862,0.045385367,0,0,0.903440006,1,
